width,length,type,region,model,height-min,height-max,stories,shape,library
12.0,36.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_36m.obj,,,,SQ,R2
12.0,42.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_42m.obj,,,,SQ,R2
12.0,48.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_48m.obj,,,,SQ,R2
12.0,54.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_54m.obj,,,,SQ,R2
12.0,60.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_60m.obj,,,,SQ,R2
12.0,66.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_66m.obj,,,,SQ,R2
12.0,72.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_72m.obj,,,,SQ,R2
12.0,78.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_78m.obj,,,,SQ,R2
12.0,84.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_84m.obj,,,,SQ,R2
12.0,90.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_90m.obj,,,,SQ,R2
12.0,96.0,industrial,,R2_Library/budovy/sklady/sklad_12m/sklad12_96m.obj,,,,SQ,R2
16.0,20.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_20m.obj,,,,SQ,R2
16.0,24.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_24m.obj,,,,SQ,R2
16.0,30.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_30m.obj,,,,SQ,R2
16.0,36.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_36m.obj,,,,SQ,R2
16.0,48.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_48m.obj,,,,SQ,R2
16.0,54.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_54m.obj,,,,SQ,R2
16.0,60.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_60m.obj,,,,SQ,R2
16.0,66.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_66m.obj,,,,SQ,R2
16.0,72.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_72m.obj,,,,SQ,R2
16.0,78.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_78m.obj,,,,SQ,R2
16.0,84.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_84m.obj,,,,SQ,R2
16.0,90.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_90m.obj,,,,SQ,R2
16.0,96.0,industrial,,R2_Library/budovy/sklady/sklad_16m/sklad16_96m.obj,,,,SQ,R2
20.0,20.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_20m.obj,,,,SQ,R2
20.0,20.0,industrial,,lib/industry_commerce/industrial_old_20x20b.obj,,,,SQ,XP
20.0,24.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_24m.obj,,,,SQ,R2
20.0,30.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_30m.obj,,,,SQ,R2
20.0,30.0,industrial,,lib/industry_commerce/industrial_old_20x30a.obj,,,,SQ,XP
20.0,36.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_36m.obj,,,,SQ,R2
20.0,42.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_42m.obj,,,,SQ,R2
20.0,48.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_48m.obj,,,,SQ,R2
30.0,30.0,industrial,,lib/industry_commerce/industrial_old_30x30a.obj,,,,SQ,R2
30.0,30.0,industrial,,lib/industry_commerce/industrial_old_30x30c.obj,,,,SQ,R2
30.0,30.0,industrial,,lib/g10/US/industrial/light/Warehse30x30Dk.obj,,,,SQ,XP
30.0,30.0,industrial,,lib/g10/US/industrial/light/Warehse30x30Lt.obj,,,,SQ,XP
20.0,54.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_54m.obj,,,,SQ,R2
20.0,60.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_60m.obj,,,,SQ,R2
20.0,66.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_66m.obj,,,,SQ,R2
20.0,72.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_72m.obj,,,,SQ,R2
20.0,78.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_78m.obj,,,,SQ,R2
20.0,84.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_84m.obj,,,,SQ,R2
20.0,90.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_90m.obj,,,,SQ,R2
20.0,96.0,industrial,,R2_Library/budovy/sklady/sklad_20m/sklad20_96m.obj,,,,SQ,R2
26.0,30.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_30m.obj,,,,SQ,R2
26.0,36.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_36m.obj,,,,SQ,R2
26.0,42.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_42m.obj,,,,SQ,R2
26.0,48.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_48m.obj,,,,SQ,R2
26.0,54.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_54m.obj,,,,SQ,R2
26.0,60.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_60m.obj,,,,SQ,R2
26.0,66.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_66m.obj,,,,SQ,R2
26.0,72.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_72m.obj,,,,SQ,R2
26.0,78.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_78m.obj,,,,SQ,R2
26.0,84.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_84m.obj,,,,SQ,R2
26.0,90.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_90m.obj,,,,SQ,R2
26.0,96.0,industrial,,R2_Library/budovy/sklady/sklad_26m/sklad26_96m.obj,,,,SQ,R2
32.0,36.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_36m.obj,,,,SQ,R2
32.0,42.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_42m.obj,,,,SQ,R2
32.0,48.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_48m.obj,,,,SQ,R2
32.0,54.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_54m.obj,,,,SQ,R2
32.0,60.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_60m.obj,,,,SQ,R2
32.0,66.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_66m.obj,,,,SQ,R2
32.0,72.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_72m.obj,,,,SQ,R2
32.0,78.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_78m.obj,,,,SQ,R2
32.0,84.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_84m.obj,,,,SQ,R2
32.0,90.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_90m.obj,,,,SQ,R2
32.0,96.0,industrial,,R2_Library/budovy/sklady/sklad_32m/sklad32_96m.obj,,,,SQ,R2
15.0,20.0,industrial,,lib/g10/US/industrial/light/FactA15x22.obj,,,,SQ,XP
60.0,30.0,industrial,,lib/g10/US/industrial/light/FactA60x30.obj,,,,SQ,XP
10.0,30.0,industrial,,lib/g10/US/industrial/light/FactB10x30D.obj,,,,SQ,XP
30.0,45.0,industrial,,lib/g10/US/industrial/light/FactB30x45.obj,,,,SQ,XP
60.0,60.0,industrial,,lib/g10/US/industrial/light/FactC60x60_v0.obj,,,,SQ,XP
60.0,60.0,industrial,,lib/g10/US/industrial/light/FactC60x60_v1.obj,,,,SQ,XP
13.0,30.0,industrial,,lib/g10/US/industrial/light/Warehse13x30Lt.obj,,,,SQ,XP
15.0,30.0,industrial,,lib/g10/US/industrial/light/Warehse15x30Lt.obj,,,,SQ,XP
15.0,30.0,industrial,,lib/g10/US/industrial/light/Warehse15x30Dk.obj,,,,SQ,XP
56.0,23.0,industrial,,opensceneryx/objects/buildings/industrial/factories/victorian.obj,,,,SQ,OPENSCENERYX
24.9,32.7,industrial,CH,objects/commercial/EU/CH/IND_24.99x32.69x9.53_CH.obj,8,12,,SQ,W2XP
92.1,61.3,industrial,CH,objects/commercial/EU/CH/IND_92.12x61.32x16.41_CH.obj,12,18,,SQ,W2XP
100.0,100.0,industrial,,R2_Library/budovy/haly/hala_100x100a.obj,,,,SQ,W2XP
100.0,160.0,industrial,,R2_Library/budovy/haly/hala_100x160a.obj,,,,SQ,W2XP
130.0,260.0,industrial,,R2_Library/budovy/haly/hala_130x260a.obj,,,,SQ,W2XP
56.0,85.0,industrial,,R2_Library/budovy/haly/hala_56x85a.obj,,,,SQ,W2XP
80.0,100.0,industrial,,R2_Library/budovy/haly/hala_80x100a.obj,,,,SQ,W2XP



